License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
2220526,ON-PREMISES LIQUOR,252,OP,2,Albany,ROCKLAND,PAN PARTNERS INC,RICK'S CLUB AMERICAN,100 LAKE RD,,CONGERS ,NY,10920,,01/23/2020
1325127,GROCERY STORE BEER,122,A,1,New York City,NEW YORK,VINYL BEER LLC,VINYL BEER,1491 LEXINGTON AVE,,NEW YORK,NY,10029,,01/23/2020
1325128,GROCERY STORE BEER,122,A,1,New York City,WESTCHESTER,DON JUANITO GROCERY & MEAT MARKET CORP,,191 MAIN ST,,OSSINING,NY,10562,,01/23/2020
1325133,LIQUOR STORE,222,L,1,New York City,NEW YORK,PERCEPTION WINE & SPIRITS INC,,238 7TH AVE,,NEW YORK,NY,10011,,01/23/2020
1325138,CATERING ESTABLISHMENT,246,CT,1,New York City,NEW YORK,RESTAURANT ASSOCIATES LLC,,315 HUDSON ST ,"9TH, 10TH FL",NEW YORK,NY,10013,,01/23/2020
1325139,CATERING ESTABLISHMENT,246,CT,1,New York City,NEW YORK,RESTAURANT ASSOCIATES LLC,,345 HUDSON ST ,5TH FL,NEW YORK,NY,10014,,01/23/2020
1325140,CATERING ESTABLISHMENT,246,CT,1,New York City,NEW YORK,RESTAURANT ASSOCIATES LLC,,345 HUDSON ST ,15TH FL,NEW YORK,NY,10014,,01/23/2020
3164735,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,CHEMUNG,MP CLEARY INC,ACES & EIGHTS GENERAL STORE,1156 BROADWAY ST,,ELMIRA,NY,14904,,01/23/2020
3164737,ON-PREMISES LIQUOR,252,OP,3,Buffalo,WAYNE,THOMAS A TOLLESON,MAIN STREET RESTAURANT,101 W UNION ST,,NEWARK,NY,14513,,01/23/2020
2220540,ON-PREMISES LIQUOR,252,OP,2,Albany,DUTCHESS,SAVONA'S OF POUGHKEEPSIE LLC ,SAVONS'S OF POUGHKEEPSIE ,1 3 COLLEGE VIEW AVE ,STE 6,POUGHKEEPSIE ,NY,12603,,01/23/2020
3164739,LIQUOR STORE,222,L,3,Buffalo,ERIE,SHAN 1205 LLC,STAR WINE & LIQUOR,1100 KENMORE AVE,,BUFFALO              ,NY,14216,,01/23/2020
2220544,RESTAURANT WINE,341,RW,2,Albany,JEFFERSON,RUYI SUSHI INC,,26121 US RTE 11,,EVANS MILLS,NY,13637,,01/23/2020
3164742,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,SOCIETY LOUNGE LLC,SOCIETY ,392 PEARL ST,,BUFFALO              ,NY,14202,,01/23/2020
3164744,EATING PLACE BEER,141,EB,3,Buffalo,ERIE,DANIELLE LYNN DUEMMEL,WAFFLES R WILD,3872 LYELL RD,,BUFFALO              ,NY,14606,,01/23/2020
1325144,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,E 213 ST DELI & GROCERY CORP,,729 E 213TH ST,,BRONX,NY,10467,,01/24/2020
1325147,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,ALBIONI LLC ,GRANITA ,202 204 E HARTSDALE AVE ,,HARTSDALE ,NY,10530,,01/24/2020
1325151,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,HUDSON YARDS RESTAURANT LEASING LLC,HERO BOY AND MANGANARO'S,492 494 9TH AVE,,NEW YORK,NY,10018,,01/24/2020
1325156,ON-PREMISES LIQUOR,252,OP,1,New York City,BRONX,ALFA KITCHEN & LOUNGE INC,ALFA KITCHEN & LOUNGE ,64 E 183RD ST,AKA 2275 MORRIS AVE STORE 2,BRONX,NY,10453,,01/24/2020
1325165,RESTAURANT WINE,341,RW,1,New York City,KINGS,SANTO DOMINGO RESTAURANT INC,,862 NEW LOTS AVE,,BROOKLYN,NY,11208,,01/24/2020
1325172,RESTAURANT WINE,341,RW,1,New York City,NASSAU,RUBY BUFFET NY INC,RUBY BUFFET,1 SUNRISE MALL ,,MASSAPEQUA,NY,11758,,01/24/2020
1325175,WINERY,301,DW,1,New York City,KINGS,KATO SAKE WORKS LLC ,,5 CENTRAL AVE ,SPACE B ,BROOKLYN ,NY,11206,,01/24/2020
1325176,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,STEEL SKIN INC,,401 SUNRISE HWY,,WEST ISLIP,NY,11795,,01/24/2020
1325179,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,TSCE 2007 JACX FH LLC ,,28-07 JACKSON AVE ,,LONG ISLAND CITY ,NY,11101,,01/24/2020
3164748,O.P. ENTERTAINMENT,251,EL,3,Buffalo,ERIE,TAPPO POOL CLUB LLC ,,140 CHANDLER ST ,,BUFFALO              ,NY,14207,,01/27/2020
1325182,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,K & B EASTSIDE LLC ,MULLIGAN'S PUB ,267 MADISON AVE ,,NEW YORK ,NY,10016,,01/27/2020
2220563,ON-PREMISES LIQUOR,252,OP,2,Albany,BROOME,HAWLEY STREET HOSPITALITY GROUP INC ,,15 HAWLEY ST ,STE 1,BINGHAMTON ,NY,13901,,01/27/2020
2220564,"GROCERY BEER, WINE PROD",122,AX,2,Albany,ONONDAGA,ROLL WITH IT LLC,FABIUS COUNTRY STORE,7861 MAIN ST,,FABIUS,NY,13063,,01/27/2020
2220565,ON-PREMISES LIQUOR,252,OP,2,Albany,WARREN,SKINNYGUYS INC,SALUTI,25 CANADA ST,,LAKE GEORGE,NY,12845,,01/27/2020
3164750,TAVERN WINE,344,TW,3,Buffalo,MONROE,LOPEZ-ELLIS ALLIANCE INC ,BETTER TOGETHER DOG PARK ,613 CULVER RD ,,ROCHESTER            ,NY,14609,,01/27/2020
1325189,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,NASSAU,BOLLA OPERATING L I CORP,BOLLA 101 ELMONT C-STORE,101 HEMPSTEAD TPKE,,ELMONT,NY,11003,,01/27/2020
1325192,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,DIM SUM CHELSEA INC ,,236 8TH AVE ,,NEW YORK ,NY,10011,,01/27/2020
1325195,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,NASSAU,BOLLA OPERATING L I CORP,BOLLA 285 N BROADWAY C-STORE,285 N BROADWAY,,HICKSVILLE,NY,11801,,01/27/2020
1325198,RESTAURANT WINE,341,RW,1,New York City,RICHMOND,CASA DEL MOLCAJETE INC ,,635 BAY ST ,,STATEN ISLAND ,NY,10304,,01/27/2020
1325199,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,MAMMA SANTINA PIZZERIA INC,FRANKS PIZZERIA & REST,201 203 ORINOCO DR,,BRIGHTWATERS,NY,11718,,01/27/2020
1325200,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,D&D CAFE LLC ,APOLLONIA,128 MESEROLE ST ,,BROOKLYN ,NY,11206,,01/27/2020
1325205,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,BELLE ET NOIR LLC,,166 GRAMATAN AVE,,MOUNT VERNON,NY,10550,,01/27/2020
1325211,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,YO SHANGHAI LLC,8SIA ASIAN FOOD HALL,220 EAST 42ND ST,,NEW YORK,NY,10017,,01/27/2020
1325215,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,"206W41 LLC; ELYSIAN HOSPITALITY, LLC & TSQB41 LLC",GLEASONS TAVERN,206 W 41ST ST,,NEW YORK,NY,10036,,01/27/2020
3164755,CLUB LIQUOR,243,CL,3,Buffalo,ERIE,BUFFALO CIGAR CLUB INC,BUFFALO CIGAR CLUB ,2911 SOUTHWESTERN BLVD,,ORCHARD PARK,NY,14127,,01/27/2020
1325222,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,SPUNTINO WILLISTON PARK LLC,,29 HILLSIDE AVE,,WILLISTON PARK,NY,11596,,01/27/2020
2220586,HOTEL LIQUOR,242,HL,2,Albany,CAYUGA,INNS OF AURORA LLC,ZABRISKIE HOUSE,441 MAIN ST,,AURORA,NY,13026,,01/27/2020
1325225,CATERING ESTABLISHMENT,246,CT,1,New York City,NASSAU,FELICO'S PIZZERIA INC,FELICO'S CATERING,155 SEARINGTOWN RD,,ALBERTSON,NY,11507,,01/27/2020
2220587,ON-PREMISES LIQUOR,252,OP,2,Albany,ULSTER,TETTA'S MARKET AND PIZZERIA LLC,,2082 COUNTY RD 3,,OLIVEBRIDGE,NY,12461,,01/27/2020
1325231,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,207 TULCINGO AZTECA RESTAURANT CORP,,3861 10TH AVE,,NEW YORK,NY,10034,,01/27/2020
1325232,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,WINTHROP DELI GROCERY INC,,1044 WINTHROP ST,,BROOKLYN,NY,11212,,01/27/2020
1325233,CIDER PRODUCER/WHOLESALER,304,CD,1,New York City,NASSAU,KUPELA INC,,300 HEMPSTEAD TPKE ,SUTE B06 ,WEST HEMPSTEAD ,NY,11552,,01/28/2020
3164759,TAVERN WINE,344,TW,3,Buffalo,CHAUTAUQUA,UPPER CRUST BAKERY LLC,ER CRUST,25 27 MAIN ST ,,FREDONIA,NY,14063,,01/28/2020
1325234,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,DIM SUM PALACE YAN INC,,28 W 56TH ST,,NEW YORK,NY,10019,,01/28/2020
1325235,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,2869 MEAT & PRODUCE CORP,C-TOWN SUPERMARKET,2869 FULTON ST,,BROOKLYN,NY,11208,,01/28/2020
3164760,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,THAT BARBER JARED INC,IL MULINO,465 WASHINGTON ST,STE 100,BUFFALO              ,NY,14203,,01/28/2020
2220589,ON-PREMISES LIQUOR,252,OP,2,Albany,ORANGE,1839 RESTAURANT AND BAR INC,,84 BROTHERHOOD PLAZA DR,,WASHINGTONVILLE,NY,10992,,01/28/2020
1325236,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,SCR 646 CORP ,SCARLATTO ,646 AMSTERDAM ,,NEW YORK ,NY,10025,,01/28/2020
2220591,ON-PREMISES LIQUOR,252,OP,2,Albany,DUTCHESS,PW ROUTE 44 55 LLC,PLANET WINGS & PIZZA E BIRRA,830 MAIN ST,,POUGHKEEPSIE,NY,12603,,01/28/2020
1325237,GROCERY STORE BEER,122,A,1,New York City,NASSAU,UNION DELI NY CORP,,678 UNION AVE,,WESTBURY,NY,11590,,01/28/2020
1325240,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,LA BODEGA DE LA CHAMA DELI CORP ,LA BODEGA DE LA CHAMA DELI CORP ,1160 BOYNTON AVE ,,BRONX ,NY,10472,,01/28/2020
1325243,GROCERY STORE BEER,122,A,1,New York City,NASSAU,SAJOMA GROCERY RA INC,,21 E MAIN ST,,OYSTER BAY,NY,11771,,01/28/2020
1325246,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,SHREE HARI 223 CORPORATION ,7 ELEVEN STORE #11157E ,223 LAUREL RD ,,EAST NORTPORT ,NY,11731,,01/28/2020
1325248,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,CHELSEA 191 CORP ,LIME JUNGLE ,197 7TH AVE ,STORE #3,NEW YORK ,NY,10011,,01/28/2020
1325249,GROCERY STORE BEER,122,A,1,New York City,NASSAU,GALO DELI & PIZZA CORP,,1146 FRONT ST,,UNIONDALE,NY,11553,,01/28/2020
1325252,RESTAURANT WINE,341,RW,1,New York City,QUEENS,MONTICELLO FOOD CORP ,DINO'S PIZZA & PASTA ,3001 BROADWAY ,,ASTORIA ,NY,11106,,01/28/2020
1325253,GROCERY STORE BEER,122,A,1,New York City,SUFFOLK,LOS PRIMOS ER DELI CORP,,670 DIXON AVE,,COPIAGUE,NY,11726,,01/28/2020
1325256,WHOLESALE LIQUOR,203,LL,1,New York City,NEW YORK,VINTUS LLC,,48 W 38TH ST ,,NEW YORK ,NY,10018,,01/28/2020
1325257,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,MSM ENTERTAINMENT LLC,RESERVOIR,70 UNIVERSITY PL,,NEW YORK,NY,10003,,01/28/2020
1325260,RESTAURANT WINE,341,RW,1,New York City,NASSAU,HSDY LLC ,VINCENT'S PIZZERIA ,1004 WILLIS AVE ,,ALBERTSON ,NY,11507,,01/28/2020
1325263,RESTAURANT WINE,341,RW,1,New York City,QUEENS,LENNY'S WEST INDIAN COOKHOUSE LLC,LENNY'S WEST INDIAN COOKHOUSE & BEER GARDEN,112-06 LIBERTY AVE,,RICHMOND HILL,NY,11419,,01/28/2020
1325264,CLUB LIQUOR,243,CL,1,New York City,WESTCHESTER,TERRACE CITY LODGE 1499 IBPOE,OF THE WORLD OF YONKERS NY INC,143 LAKE AVE,,YONKERS              ,NY,10703,,01/28/2020
2220597,ON-PREMISES LIQUOR,252,OP,2,Albany,ULSTER,FARE & MAIN LLC,LOLA PIZZA,243 FAIR ST,,KINGSTON,NY,12401,,01/28/2020
1325266,RESTAURANT WINE,341,RW,1,New York City,NASSAU,TLAC CORPORATION ,FRESCO CREPERIE & CAFE WILLISTON PARK ,72 HILLSIDE AVE ,,WILLISTON PARK ,NY,11596,,01/28/2020
1325268,RESTAURANT WINE,341,RW,1,New York City,NASSAU,PECA 1 CORP ,PHO CHE ,96 NORTHERN BLVD ,,NEW ROCHELLE         ,NY,11021,,01/28/2020
1325269,"DRUG BEER, WINE PROD",121,DX,1,New York City,QUEENS,8202 ST GRILL CORP ,,82-02 ROOSEVELT AVE ,,JACKSON HEIGHTS ,NY,11372,,01/28/2020
2220602,TAVERN WINE,344,TW,2,Albany,OSWEGO,WOODYS ON 37 LLC,,725 COUNTY RTE 37,,CENTRAL SQUARE,NY,13036,,01/28/2020
1325270,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,1424 LEXINGTON AVENUE FOOD CORP ,EASTSIDE DELI ,1424 LEXINGTON AVE ,,NEW YORK ,NY,10128,,01/28/2020
2220604,RESTAURANT WINE,341,RW,2,Albany,SCHENECTADY,KARMA BISTRO INC,,2321 NOTT ST E,,SCHENECTADY          ,NY,12309,,01/28/2020
2220606,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,CLAYPOOL CELLARS LLC,CC PACHYDERM,64 BONNEAU RD,,SONOMA,CA,95476,923172,01/29/2020
1325272,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,MACOSA LLC ,,310 TOMPKINS AVE ,,BROOKLYN ,NY,11216,,01/29/2020
2220607,ON-PREMISES LIQUOR,252,OP,2,Albany,HERKIMER,ROCKY'S ON THE LAKE LLC,,438 MCARTHUR RD,,COLD BROOK,NY,13324,,01/29/2020
1325273,LIQUOR STORE,222,L,1,New York City,NASSAU,BEST BUY 888 LIQUOR & WINE INC ,,678 DOGWOOD AVE ,,FRANKLIN SQUARE ,NY,11010,,01/29/2020
2220608,ON-PREMISES LIQUOR,252,OP,2,Albany,DUTCHESS,HAPPY VALLEY ARCADE LLC,,296 MAIN ST ,,BEACON,NY,12508,,01/29/2020
2220610,"GROCERY BEER, WINE PROD",122,AX,2,Albany,ONONDAGA,SALINA MEATS & GROCERY LLC,,854 N SALINA ST,,SYRACUSE             ,NY,13208,,01/29/2020
2220611,ON-PREMISES LIQUOR,252,OP,2,Albany,WARREN,GEORGIAN HOSPITALITY LLC,THE GEORGIAN,384 CANADA ST,,LAKE GEORGE,NY,12845,,01/29/2020
1325282,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,EL MANANTIAL ENTERPRISES INC,EL MANANTIAL RESTAURANT,104-21 ROOSEVELT AVE ,,CORONA,NY,11368,,01/29/2020
1325283,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,MUCHO LOCO 2 DELI GROCERY CORP,,168 LIBERTY AVE,,BROOKLYN,NY,11212,,01/29/2020
1325288,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,4TH AVENUE GOURMET DELI CORP,,6013 4TH AVE,,BROOKLYN,NY,11220,,01/29/2020
1325289,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,RAKY DELI GROCERY INC,,85-02 PITKIN AVE,,OZONE PARK,NY,11417,,01/29/2020
1325290,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,RED POINT DELI GROCERY CORP,,366 WILSON AVE,,BROOKLYN,NY,11221,,01/29/2020
1325293,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,ALSAIDI GROCERY INC,,263 W KINGSBRIDGE RD,,BRONX,NY,10463,,01/29/2020
1325294,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,ELMHURST SUPERMARKET INC,SF SUPERMARKET,45-16 83RD ST,,ELMHURST,NY,11373,,01/29/2020
1325295,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,YONG GROUP INC,DIY KARAOKE,133-35 ROOSEVELT AVE,,FLUSHING,NY,11354,,01/29/2020
1325298,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,241 DELI GROCERY CORP,,4655 WHITE PLAINS RD,,BRONX,NY,10470,,01/29/2020
1325301,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,1285 COFFEE AND COCKTAILS LLC,,1285 NOSTRAND AVE,,BROOKLYN,NY,11226,,01/29/2020
2220622,"GROCERY BEER, WINE PROD",122,AX,2,Albany,FRANKLIN,EASTSIDE VILLAGE LLC ,D & M MARKET/EASTSIDE MARKET ,270 ELM ST ,,MALONE ,NY,12953,,01/29/2020
1325302,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,MMS EXPRESS INC,RETAZITOS,4730 BROADWAY,,NEW YORK,NY,10034,,01/29/2020
1325303,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,D'AGOSTINO'S MARKETS LLC,D'AGOSTINO'S SUPERMARKETS #801,1223 LEXINGTON AVE,,NEW YORK,NY,10028,,01/29/2020
1325306,RESTAURANT WINE,341,RW,1,New York City,KINGS,DMPH INC,,179 5TH AVE,,BROOKLYN,NY,11217,,01/29/2020
1325311,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,NEW YORK,D'AGOSTINO'S MARKETS LLC,D'AGOSTINO'S SUPERMARKETS #809,815 10TH AVE,,NEW YORK,NY,10019,,01/29/2020
1325313,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,NEW YORK,D'AGOSTINO'S MARKETS LLC,D'AGOSTINO'S SUPERMARKETS #811,341 3RD AVE,,NEW YORK,NY,10010,,01/29/2020
2220625,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,LEVEL 3 WINES INC ,LEVEL 3 WINES ,2985 ANDERSON RD ,,PASO ROBLES ,CA,93446,923171,01/29/2020
1325317,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,NEW YORK,D'AGOSTINO'S MARKETS LLC,D'AGOSTINO'S SUPERMARKETS #815,633 COLUMBUS AVE,,NEW YORK,NY,10024,,01/29/2020
1325320,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,NEW YORK,D'AGOSTINO'S MARKETS LLC,D'AGOSTINO'S SUPERMARKETS #816,790 GREENWICH ST,,NEW YORK,NY,10014,,01/29/2020
1325324,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,NEW YORK,D'AGOSTINO'S MARKETS LLC,D'AGOSTINO'S SUPERMARKETS #825,580 582 3RD AVE,,NEW YORK ,NY,10016,,01/29/2020
2220626,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,GOGI WINES INC ,GOGI WINES ,1251 W LAUREL AVE ,UNITS 22-26,LOMPOC ,CA,93436,923173,01/29/2020
1325327,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,SLURPEE PALACE LLC,FOOD MART,515 E MAIN ST,,BAYSHORE,NY,11706,,01/29/2020
1325330,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,NEW YORK,D'AGOSTINO'S MARKETS LLC,D'AGOSTINO'S SUPERMARKETS #827,411 E 53RD ST,,NEW YORK,NY,10022,,01/29/2020
1325349,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,164 ST DELI GROCERY INC,,2097 AMSTERDAM AVE ,,NEW YORK ,NY,10032,,01/30/2020
1325350,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,Y & O FOOD CORP ,,4702 CLARENDON RD ,,BROOKLYN ,NY,11203,,01/30/2020
1325353,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NASSAU,KATARZYNA BOLKO,,58 GARDINERS AVE,,LEVITTOWN,NY,11756,,01/30/2020
1325354,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,PANMELLITO INC,,PENN STATION,MAIN CONCOURSE,NEW YORK,NY,10001,,01/30/2020
1325355,EATING PLACE BEER,141,EB,1,New York City,SUFFOLK,TAQUERIA PUPUSERIA SANTAROSA DELI INC,,100 BAY AVE,,PATCHOGUE,NY,11772,,01/30/2020
2220630,WHOLESALE BEER(C),103,C,2,Albany,PUTNAM,B UNITED INTERNATIONAL INC,,155 MAIN ST,,BREWSTER,NY,10509,,01/30/2020
3164770,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CATTARAUGUS,SOUTH DAYTON POST 1593 AMERICAN LEGION INC,,4 MILL ST,,SOUTH DAYTON,NY,14138,,01/30/2020
3164772,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ERIE,SUPER SAVER MINI MART 2 INC,,436 E FERRY ST,,BUFFALO,NY,14208,,01/30/2020
3164775,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ONTARIO,S & W TROWBRIDGE PROPERTIES LLC,A'S SWEETS-N-TREATS,4233 ROUTE 21 SOUTH,,CANANDAIGUA,NY,14424,,01/30/2020
3164777,RESTAURANT WINE,341,RW,3,Buffalo,ERIE,STAR GARDEN ASIAN CUISINE INC,STAR GARDEN,899 FRENCH RD,,CHEEKTOWAGA,NY,14227,,01/30/2020
3164778,ON-PREMISES LIQUOR,252,OP,3,Buffalo,MONROE,GATHER BY GALLO LLC,,453 CENTER ST,,LEWISTON,NY,14092,,01/30/2020
3164782,ON-PREMISES LIQUOR,252,OP,3,Buffalo,LIVINGSTON,NATHAN CHARLES & JACLYN GLORIA WOOLLETT,DUGOS,127 MAIN ST,,DANSVILLE,NY,14437,,01/30/2020
3164784,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,MONROE,M & A CONVENIENCE INC,M & A CONVENIENCE,1364 DEWEY AVE,,ROCHESTER            ,14,613,,01/30/2020
3164786,HOTEL LIQUOR,242,HL,3,Buffalo,ONTARIO,CANANDAIGUA HOTEL HOLDINGS LLC,THE LAKE HOUSE ON CANANDAIGUA,770 S MAIN ST,,CANANDAIGUA,NY,14424,,01/30/2020
3164794,SUMMER O.P. FOOD & BEV,548,SL,3,Buffalo,ONTARIO,CANANDAIGUA HOTEL HOLDINGS LLC,THE SAND BAR,770 S MAIN ST,DOCK,CANANDAIGUA,NY,14424,,01/30/2020
3164799,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CHAUTAUQUA,HOT SPOT OF FREDONIA INC,SUNNYS,43 45 WATER ST,,FREDONIA,NY,14063,,01/30/2020
3164802,TAVERN WINE,344,TW,3,Buffalo,ERIE,SOUTHPARK BEVERAGES LLC,SOUTHPARK BEVERAGES CRAFT BEER & WINE BAR,3871 S PARK AVE,,BLASDELL,NY,14219,,01/30/2020
3164804,ON-PREMISES LIQUOR,252,OP,3,Buffalo,NIAGARA,JANIE B INC,THE BROOKSIDE BANQUETS,2990 LOCKPORT OLCOTT RD,,NEWFANE,NY,14108,,01/30/2020
1325365,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,NY LHC LLC,CINEPOLIS CHELSEA,260 W 23RD ST,,NEW YORK,NY,10011,,01/31/2020
1325366,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,WATANABE NYC LLC,NARINA VIP,88 BATTERY PL,,NEW YORK,NY,10280,,01/31/2020
2220654,ON-PREMISES LIQUOR,252,OP,2,Albany,ESSEX,LOBSTER REEF LLC,PURPLE SAIGE TEMPTATIONS,2509 MAIN ST,,LAKE PLACID,NY,12946,,01/31/2020
1325367,RESTAURANT WINE,341,RW,1,New York City,QUEENS,CRUST ON J INC,THE UPPER CRUST,67-11 MAIN ST ,,FLUSHING,NY,11367,,01/31/2020
1325368,TAVERN WINE,344,TW,1,New York City,BRONX,CHARLIE STORE CORP,,2480 BELMONT AVE,,BRONX,NY,10458,,01/31/2020
2220655,RESTAURANT WINE,341,RW,2,Albany,ULSTER,PHO TIBET INC,,58 MAIN ST,,NEW PALTZ,NY,12561,,01/31/2020
1325372,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,EASY VICTOR LLC,BUMBLE BREW,98 KENMARE ST,,NEW YORK,NY,10012,,01/31/2020
2220657,DIRECT WINE SHIPMENT,308,WS,2,Albany,ALBANY,GF VINEYARDS LLC,GRACE FAMILY VINEYARDS,1210 ROCKLAND DR,,ST HELENA,CA,94574,,01/31/2020
3164807,FARM BREWER,106,FD,3,Buffalo,CHAUTAUQUA,"BREW CHAMBER LLC, THE",,12 BOSWELL ST,,RIPLEY,NY,14775,,01/31/2020
1325379,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,JGL RESTAURANT CORP,,1494 1ST AVE ,AKA 400 E 78TH ST,NEW YORK,NY,10075,,01/31/2020
1325380,GROCERY STORE BEER,122,A,1,New York City,KINGS,BB 3008 FOOD CORP,BRAVO SUPERMARKET,3008 FULTON ST,,BROOKLYN,NY,11208,,01/31/2020
1325381,GROCERY STORE BEER,122,A,1,New York City,QUEENS,DELI COFFEE SHOP 55 INC,,55-14 37TH AVE ,,WOODSIDE,NY,11377,,01/31/2020
1325382,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,JT DELI GROCERY INC,,1055 BLAKE AVE,,BROOKLYN,NY,11208,,01/31/2020
1325384,WHOLESALE BEER(C),103,C,1,New York City,WESTCHESTER,BEER WORLD 12 CORP,BEER WORLD,1719 MAIN ST,,PEEKSKILL,NY,10566,,01/31/2020
1325385,WHOLESALE CIDER,104,BC,1,New York City,WESTCHESTER,BEER WORLD 12 CORP,BEER WORLD,1719 MAIN ST,,PEEKSKILL,NY,10566,,01/31/2020
1325386,TAVERN WINE,344,TW,1,New York City,WESTCHESTER,"HOLE 18, INC THE",THE HOLE 18,183 S CENTRAL AVE,,HARTSDALE,NY,10530,,01/31/2020
1325390,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,PIG & SPROCKET LLC,PIGGY BACK NYC,140 W 30TH ST,,NEW YORK,NY,10001,,01/31/2020
1325394,TAVERN WINE,344,TW,1,New York City,KINGS,BURLY CAFE INC,BURLY COFFEE,832 DEKALB AVE,,BROOKLYN,NY,11221,,01/31/2020
1325395,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,GO4LAUGH GROUP INC,LAUGHING QUEEN,27 ALLEN ST,,NEW YORK,NY,10002,,01/31/2020
1325397,RESTAURANT WINE,341,RW,1,New York City,QUEENS,ONDERDONK RESTAURANT GROUP LLC,ONDERDONK & SONS,566 ONERDONK AVE,,RIDGEWOOD,NY,11385,,01/31/2020
2220661,"GROCERY BEER, WINE PROD",122,AX,2,Albany,ORANGE,P&P BUSINESS CORP ,SAVE A LOT ,100 PIKE ST ,,PORT JERVIS ,NY,12771,,01/31/2020
